# allkeys-17.0.0.txt
# Date: 2025-07-23, 12:12:03 GMT
# Copyright 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/copyright.html
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..73C2 (29123)
# Secondary weight range: 0020..0127 (264)
# Variant secondaries:    011F..0127 (9)
# Tertiary weight range:  0002..001F (30)
#
@version 17.0.0

@implicitweights 17000..187FF; FB00 # Tangut
1641  ; [.4158.0020.0002] # CANADIAN SYLLABICS CARRIER ZO
1642  ; [.4159.0020.0002] # CANADIAN SYLLABICS CARRIER ZE
1643  ; [.415A.0020.0002] # CANADIAN SYLLABICS CARRIER ZEE
1644  ; [.415B.0020.0002] # CANADIAN SYLLABICS CARRIER ZI
1645  ; [.415C.0020.0002] # CANADIAN SYLLABICS CARRIER ZA
1646  ; [.415D.0020.0002] # CANADIAN SYLLABICS CARRIER Z
1647  ; [.415E.0020.0002] # CANADIAN SYLLABICS CARRIER INITIAL Z
1648  ; [.415F.0020.0002] # CANADIAN SYLLABICS CARRIER DZU
1649  ; [.4160.0020.0002] # CANADIAN SYLLABICS CARRIER DZO
164A  ; [.4161.0020.0002] # CANADIAN SYLLABICS CARRIER DZE
164B  ; [.4162.0020.0002] # CANADIAN SYLLABICS CARRIER DZEE
164C  ; [.4163.0020.0002] # CANADIAN SYLLABICS CARRIER DZI
164D  ; [.4164.0020.0002] # CANADIAN SYLLABICS CARRIER DZA
164E  ; [.4165.0020.0002] # CANADIAN SYLLABICS CARRIER SU
164F  ; [.4166.0020.0002] # CANADIAN SYLLABICS CARRIER SO
1650  ; [.4167.0020.0002] # CANADIAN SYLLABICS CARRIER SE
1651  ; [.4168.0020.0002] # CANADIAN SYLLABICS CARRIER SEE
1652  ; [.4169.0020.0002] # CANADIAN SYLLABICS CARRIER SI
1653  ; [.416A.0020.0002] # CANADIAN SYLLABICS CARRIER SA
1654  ; [.416B.0020.0002] # CANADIAN SYLLABICS CARRIER SHU
1655  ; [.416C.0020.0002] # CANADIAN SYLLABICS CARRIER SHO
1656  ; [.416D.0020.0002] # CANADIAN SYLLABICS CARRIER SHE
1657  ; [.416E.0020.0002] # CANADIAN SYLLABICS CARRIER SHEE
1658  ; [.416F.0020.0002] # CANADIAN SYLLABICS CARRIER SHI
1659  ; [.4170.0020.0002] # CANADIAN SYLLABICS CARRIER SHA
165A  ; [.4171.0020.0002] # CANADIAN SYLLABICS CARRIER SH
165B  ; [.4172.0020.0002] # CANADIAN SYLLABICS CARRIER TSU
165C  ; [.4173.0020.0002] # CANADIAN SYLLABICS CARRIER TSO
165D  ; [.4174.0020.0002] # CANADIAN SYLLABICS CARRIER TSE
165E  ; [.4175.0020.0002] # CANADIAN SYLLABICS CARRIER TSEE
165F  ; [.4176.0020.0002] # CANADIAN SYLLABICS CARRIER TSI
1660  ; [.4177.0020.0002] # CANADIAN SYLLABICS CARRIER TSA
1661  ; [.4178.0020.0002] # CANADIAN SYLLABICS CARRIER CHU
1662  ; [.4179.0020.0002] # CANADIAN SYLLABICS CARRIER CHO
1663  ; [.417A.0020.0002] # CANADIAN SYLLABICS CARRIER CHE
1664  ; [.417B.0020.0002] # CANADIAN SYLLABICS CARRIER CHEE
1665  ; [.417C.0020.0002] # CANADIAN SYLLABICS CARRIER CHI
1666  ; [.417D.0020.0002] # CANADIAN SYLLABICS CARRIER CHA
1667  ; [.417E.0020.0002] # CANADIAN SYLLABICS CARRIER TTSU
1668  ; [.417F.0020.0002] # CANADIAN SYLLABICS CARRIER TTSO
1669  ; [.4180.0020.0002] # CANADIAN SYLLABICS CARRIER TTSE
166A  ; [.4181.0020.0002] # CANADIAN SYLLABICS CARRIER TTSEE
166B  ; [.4182.0020.0002] # CANADIAN SYLLABICS CARRIER TTSI
166C  ; [.4183.0020.0002] # CANADIAN SYLLABICS CARRIER TTSA
1677  ; [.4184.0020.0002] # CANADIAN SYLLABICS WOODS-CREE THWEE
1678  ; [.4185.0020.0002] # CANADIAN SYLLABICS WOODS-CREE THWI
1679  ; [.4186.0020.0002] # CANADIAN SYLLABICS WOODS-CREE THWII
167A  ; [.4187.0020.0002] # CANADIAN SYLLABICS WOODS-CREE THWO
167B  ; [.4188.0020.0002] # CANADIAN SYLLABICS WOODS-CREE THWOO
167C  ; [.4189.0020.0002] # CANADIAN SYLLABICS WOODS-CREE THWA
167D  ; [.418A.0020.0002] # CANADIAN SYLLABICS WOODS-CREE THWAA
167E  ; [.418B.0020.0002] # CANADIAN SYLLABICS WOODS-CREE FINAL TH
167F  ; [.418C.0020.0002] # CANADIAN SYLLABICS BLACKFOOT W
18B0  ; [.418D.0020.0002] # CANADIAN SYLLABICS OY
18B1  ; [.418E.0020.0002] # CANADIAN SYLLABICS AY
18B2  ; [.418F.0020.0002] # CANADIAN SYLLABICS AAY
18B3  ; [.4190.0020.0002] # CANADIAN SYLLABICS WAY
18B4  ; [.4191.0020.0002] # CANADIAN SYLLABICS POY
18B5  ; [.4192.0020.0002] # CANADIAN SYLLABICS PAY
18B6  ; [.4193.0020.0002] # CANADIAN SYLLABICS PWOY
18B7  ; [.4194.0020.0002] # CANADIAN SYLLABICS TAY
18B8  ; [.4195.0020.0002] # CANADIAN SYLLABICS KAY
18B9  ; [.4196.0020.0002] # CANADIAN SYLLABICS KWAY
18BA  ; [.4197.0020.0002] # CANADIAN SYLLABICS MAY
18BB  ; [.4198.0020.0002] # CANADIAN SYLLABICS NOY
18BC  ; [.4199.0020.0002] # CANADIAN SYLLABICS NAY
18BD  ; [.419A.0020.0002] # CANADIAN SYLLABICS LAY
18BE  ; [.419B.0020.0002] # CANADIAN SYLLABICS SOY
18BF  ; [.419C.0020.0002] # CANADIAN SYLLABICS SAY
18C0  ; [.419D.0020.0002] # CANADIAN SYLLABICS SHOY
18C1  ; [.419E.0020.0002] # CANADIAN SYLLABICS SHAY
18C2  ; [.419F.0020.0002] # CANADIAN SYLLABICS SHWOY
18C3  ; [.41A0.0020.0002] # CANADIAN SYLLABICS YOY
18C4  ; [.41A1.0020.0002] # CANADIAN SYLLABICS YAY
18C5  ; [.41A2.0020.0002] # CANADIAN SYLLABICS RAY
18C6  ; [.41A3.0020.0002] # CANADIAN SYLLABICS NWI
18C7  ; [.41A4.0020.0002] # CANADIAN SYLLABICS OJIBWAY NWI
18C8  ; [.41A5.0020.0002] # CANADIAN SYLLABICS NWII
18C9  ; [.41A6.0020.0002] # CANADIAN SYLLABICS OJIBWAY NWII
18CA  ; [.41A7.0020.0002] # CANADIAN SYLLABICS NWO
18CB  ; [.41A8.0020.0002] # CANADIAN SYLLABICS OJIBWAY NWO
18CC  ; [.41A9.0020.0002] # CANADIAN SYLLABICS NWOO
18CD  ; [.41AA.0020.0002] # CANADIAN SYLLABICS OJIBWAY NWOO
18CE  ; [.41AB.0020.0002] # CANADIAN SYLLABICS RWEE
18CF  ; [.41AC.0020.0002] # CANADIAN SYLLABICS RWI
18D0  ; [.41AD.0020.0002] # CANADIAN SYLLABICS RWII
18D1  ; [.41AE.0020.0002] # CANADIAN SYLLABICS RWO
18D2  ; [.41AF.0020.0002] # CANADIAN SYLLABICS RWOO
18D3  ; [.41B0.0020.0002] # CANADIAN SYLLABICS RWA
18D4  ; [.41B1.0020.0002] # CANADIAN SYLLABICS OJIBWAY P
18D5  ; [.41B2.0020.0002] # CANADIAN SYLLABICS OJIBWAY T
18D6  ; [.41B3.0020.0002] # CANADIAN SYLLABICS OJIBWAY K
18D7  ; [.41B4.0020.0002] # CANADIAN SYLLABICS OJIBWAY C
18D8  ; [.41B5.0020.0002] # CANADIAN SYLLABICS OJIBWAY M
18D9  ; [.41B6.0020.0002] # CANADIAN SYLLABICS OJIBWAY N
18DA  ; [.41B7.0020.0002] # CANADIAN SYLLABICS OJIBWAY S
18DB  ; [.41B8.0020.0002] # CANADIAN SYLLABICS OJIBWAY SH
18DC  ; [.41B9.0020.0002] # CANADIAN SYLLABICS EASTERN W
18DD  ; [.41BA.0020.0002] # CANADIAN SYLLABICS WESTERN W
18DE  ; [.41BB.0020.0002] # CANADIAN SYLLABICS FINAL SMALL RING
18DF  ; [.41BC.0020.0002] # CANADIAN SYLLABICS FINAL RAISED DOT
18E0  ; [.41BD.0020.0002] # CANADIAN SYLLABICS R-CREE RWE
18E1  ; [.41BE.0020.0002] # CANADIAN SYLLABICS WEST-CREE LOO
18E2  ; [.41BF.0020.0002] # CANADIAN SYLLABICS WEST-CREE LAA
18E3  ; [.41C0.0020.0002] # CANADIAN SYLLABICS THWE
18E4  ; [.41C1.0020.0002] # CANADIAN SYLLABICS THWA
18E5  ; [.41C2.0020.0002] # CANADIAN SYLLABICS TTHWE
18E6  ; [.41C3.0020.0002] # CANADIAN SYLLABICS TTHOO
18E7  ; [.41C4.0020.0002] # CANADIAN SYLLABICS TTHAA
18E8  ; [.41C5.0020.0002] # CANADIAN SYLLABICS TLHWE
18E9  ; [.41C6.0020.0002] # CANADIAN SYLLABICS TLHOO
18EA  ; [.41C7.0020.0002] # CANADIAN SYLLABICS SAYISI SHWE
18EB  ; [.41C8.0020.0002] # CANADIAN SYLLABICS SAYISI SHOO
18EC  ; [.41C9.0020.0002] # CANADIAN SYLLABICS SAYISI HOO
18ED  ; [.41CA.0020.0002] # CANADIAN SYLLABICS CARRIER GWU
18EE  ; [.41CB.0020.0002] # CANADIAN SYLLABICS CARRIER DENE GEE
18EF  ; [.41CC.0020.0002] # CANADIAN SYLLABICS CARRIER GAA
18F0  ; [.41CD.0020.0002] # CANADIAN SYLLABICS CARRIER GWA
18F1  ; [.41CE.0020.0002] # CANADIAN SYLLABICS SAYISI JUU
18F2  ; [.41CF.0020.0002] # CANADIAN SYLLABICS CARRIER JWA
18F3  ; [.41D0.0020.0002] # CANADIAN SYLLABICS BEAVER DENE L
18F4  ; [.41D1.0020.0002] # CANADIAN SYLLABICS BEAVER DENE R
18F5  ; [.41D2.0020.0002] # CANADIAN SYLLABICS CARRIER DENTAL S
11AB0 ; [.41D3.0020.0002] # CANADIAN SYLLABICS NATTILIK HI
11AB1 ; [.41D4.0020.0002] # CANADIAN SYLLABICS NATTILIK HII
11AB2 ; [.41D5.0020.0002] # CANADIAN SYLLABICS NATTILIK HO
11AB3 ; [.41D6.0020.0002] # CANADIAN SYLLABICS NATTILIK HOO
11AB4 ; [.41D7.0020.0002] # CANADIAN SYLLABICS NATTILIK HA
11AB5 ; [.41D8.0020.0002] # CANADIAN SYLLABICS NATTILIK HAA
11AB6 ; [.41D9.0020.0002] # CANADIAN SYLLABICS NATTILIK SHRI
11AB7 ; [.41DA.0020.0002] # CANADIAN SYLLABICS NATTILIK SHRII
11AB8 ; [.41DB.0020.0002] # CANADIAN SYLLABICS NATTILIK SHRO
11AB9 ; [.41DC.0020.0002] # CANADIAN SYLLABICS NATTILIK SHROO
11ABA ; [.41DD.0020.0002] # CANADIAN SYLLABICS NATTILIK SHRA
11ABB ; [.41DE.0020.0002] # CANADIAN SYLLABICS NATTILIK SHRAA
11ABC ; [.41DF.0020.0002] # CANADIAN SYLLABICS SPE
11ABD ; [.41E0.0020.0002] # CANADIAN SYLLABICS SPI
11ABE ; [.41E1.0020.0002] # CANADIAN SYLLABICS SPO
11ABF ; [.41E2.0020.0002] # CANADIAN SYLLABICS SPA
1681  ; [.41E3.0020.0002] # OGHAM LETTER BEITH
1682  ; [.41E4.0020.0002] # OGHAM LETTER LUIS
1683  ; [.41E5.0020.0002] # OGHAM LETTER FEARN
1684  ; [.41E6.0020.0002] # OGHAM LETTER SAIL
1685  ; [.41E7.0020.0002] # OGHAM LETTER NION
1686  ; [.41E8.0020.0002] # OGHAM LETTER UATH
1687  ; [.41E9.0020.0002] # OGHAM LETTER DAIR
1688  ; [.41EA.0020.0002] # OGHAM LETTER TINNE
1689  ; [.41EB.0020.0002] # OGHAM LETTER COLL
168A  ; [.41EC.0020.0002] # OGHAM LETTER CEIRT
168B  ; [.41ED.0020.0002] # OGHAM LETTER MUIN
168C  ; [.41EE.0020.0002] # OGHAM LETTER GORT
168D  ; [.41EF.0020.0002] # OGHAM LETTER NGEADAL
168E  ; [.41F0.0020.0002] # OGHAM LETTER STRAIF
168F  ; [.41F1.0020.0002] # OGHAM LETTER RUIS
1690  ; [.41F2.0020.0002] # OGHAM LETTER AILM
1691  ; [.41F3.0020.0002] # OGHAM LETTER ONN
1692  ; [.41F4.0020.0002] # OGHAM LETTER UR
1693  ; [.41F5.0020.0002] # OGHAM LETTER EADHADH
1694  ; [.41F6.0020.0002] # OGHAM LETTER IODHADH
1695  ; [.41F7.0020.0002] # OGHAM LETTER EABHADH
1696  ; [.41F8.0020.0002] # OGHAM LETTER OR
1697  ; [.41F9.0020.0002] # OGHAM LETTER UILLEANN
1698  ; [.41FA.0020.0002] # OGHAM LETTER IFIN
1699  ; [.41FB.0020.0002] # OGHAM LETTER EAMHANCHOLL
169A  ; [.41FC.0020.0002] # OGHAM LETTER PEITH
16A0  ; [.41FD.0020.0002] # RUNIC LETTER FEHU FEOH FE F
16A1  ; [.41FD.0020.0004][.0000.011F.0004] # RUNIC LETTER V
16A2  ; [.41FE.0020.0002] # RUNIC LETTER URUZ UR U
16A4  ; [.41FE.0020.0004][.0000.011F.0004] # RUNIC LETTER Y
16A5  ; [.41FE.0020.0004][.0000.0120.0004] # RUNIC LETTER W
16A6  ; [.41FF.0020.0002] # RUNIC LETTER THURISAZ THURS THORN
16A7  ; [.41FF.0020.0004][.0000.011F.0004] # RUNIC LETTER ETH
16F0  ; [.41FF.0020.0004][.41FF.0020.0004] # RUNIC BELGTHOR SYMBOL
16A8  ; [.4200.0020.0002] # RUNIC LETTER ANSUZ A
16A9  ; [.4200.0020.0004][.0000.011F.0004] # RUNIC LETTER OS O
16AC  ; [.4200.0020.0004][.0000.0120.0004] # RUNIC LETTER LONG-BRANCH-OSS O
16AD  ; [.4200.0020.0004][.0000.0121.0004] # RUNIC LETTER SHORT-TWIG-OSS O
16AE  ; [.4200.0020.0004][.0000.0122.0004] # RUNIC LETTER O
16F4  ; [.4201.0020.0002] # RUNIC LETTER FRANKS CASKET OS
16AF  ; [.4202.0020.0002] # RUNIC LETTER OE
16B0  ; [.4203.0020.0002] # RUNIC LETTER ON
16B1  ; [.4204.0020.0002] # RUNIC LETTER RAIDO RAD REID R
16B2  ; [.4205.0020.0002] # RUNIC LETTER KAUNA
16B3  ; [.4205.0020.0004][.0000.011F.0004] # RUNIC LETTER CEN
16B4  ; [.4205.0020.0004][.0000.0120.0004] # RUNIC LETTER KAUN K
16B5  ; [.4205.0020.0004][.0000.0121.0004] # RUNIC LETTER G
16B6  ; [.4205.0020.0004][.0000.0122.0004] # RUNIC LETTER ENG
16F1  ; [.4206.0020.0002] # RUNIC LETTER K
16B7  ; [.4207.0020.0002] # RUNIC LETTER GEBO GYFU G
16B9  ; [.4208.0020.0002] # RUNIC LETTER WUNJO WYNN W
16E9  ; [.4208.0020.0004][.0000.011F.0004] # RUNIC LETTER Q
16BA  ; [.4209.0020.0002] # RUNIC LETTER HAGLAZ H
16BB  ; [.4209.0020.0004][.0000.011F.0004] # RUNIC LETTER HAEGL H
16BC  ; [.4209.0020.0004][.0000.0120.0004] # RUNIC LETTER LONG-BRANCH-HAGALL H
16BD  ; [.4209.0020.0004][.0000.0121.0004] # RUNIC LETTER SHORT-TWIG-HAGALL H
16BE  ; [.420A.0020.0002] # RUNIC LETTER NAUDIZ NYD NAUD N
16BF  ; [.420A.0020.0004][.0000.011F.0004] # RUNIC LETTER SHORT-TWIG-NAUD N
16C0  ; [.420A.0020.0004][.0000.0120.0004] # RUNIC LETTER DOTTED-N
16C1  ; [.420B.0020.0002] # RUNIC LETTER ISAZ IS ISS I
16C2  ; [.420B.0020.0004][.0000.011F.0004] # RUNIC LETTER E
16F5  ; [.420C.0020.0002] # RUNIC LETTER FRANKS CASKET IS
16C3  ; [.420D.0020.0002] # RUNIC LETTER JERAN J
16C4  ; [.420D.0020.0004][.0000.011F.0004] # RUNIC LETTER GER
16C5  ; [.420E.0020.0002] # RUNIC LETTER LONG-BRANCH-AR AE
16C6  ; [.420E.0020.0004][.0000.011F.0004] # RUNIC LETTER SHORT-TWIG-AR A
16EE  ; [.420E.0020.0004][.4219.0020.0004] # RUNIC ARLAUG SYMBOL
16C7  ; [.420F.0020.0002] # RUNIC LETTER IWAZ EOH
16C8  ; [.4210.0020.0002] # RUNIC LETTER PERTHO PEORTH P
16D5  ; [.4210.0020.0004][.0000.011F.0004] # RUNIC LETTER OPEN-P
16C9  ; [.4211.0020.0002] # RUNIC LETTER ALGIZ EOLHX
16CA  ; [.4212.0020.0002] # RUNIC LETTER SOWILO S
16CB  ; [.4212.0020.0004][.0000.011F.0004] # RUNIC LETTER SIGEL LONG-BRANCH-SOL S
16EA  ; [.4212.0020.0004][.0000.0120.0004] # RUNIC LETTER X
16CC  ; [.4212.0020.0004][.0000.0121.0004] # RUNIC LETTER SHORT-TWIG-SOL S
16CD  ; [.4212.0020.0004][.0000.0122.0004] # RUNIC LETTER C
16CE  ; [.4212.0020.0004][.0000.0123.0004] # RUNIC LETTER Z
16F2  ; [.4213.0020.0002] # RUNIC LETTER SH
16CF  ; [.4214.0020.0002] # RUNIC LETTER TIWAZ TIR TYR T
16D0  ; [.4214.0020.0004][.0000.011F.0004] # RUNIC LETTER SHORT-TWIG-TYR T
16D1  ; [.4214.0020.0004][.0000.0120.0004] # RUNIC LETTER D
16D2  ; [.4215.0020.0002] # RUNIC LETTER BERKANAN BEORC BJARKAN B
16D3  ; [.4215.0020.0004][.0000.011F.0004] # RUNIC LETTER SHORT-TWIG-BJARKAN B
16D4  ; [.4215.0020.0004][.0000.0120.0004] # RUNIC LETTER DOTTED-P
16D6  ; [.4216.0020.0002] # RUNIC LETTER EHWAZ EH E
16F6  ; [.4217.0020.0002] # RUNIC LETTER FRANKS CASKET EH
16D7  ; [.4218.0020.0002] # RUNIC LETTER MANNAZ MAN M
16D8  ; [.4218.0020.0004][.0000.011F.0004] # RUNIC LETTER LONG-BRANCH-MADR M
16D9  ; [.4218.0020.0004][.0000.0120.0004] # RUNIC LETTER SHORT-TWIG-MADR M
16EF  ; [.4218.0020.0004][.0000.011F.0004][.4218.0020.0004][.0000.011F.0004] # RUNIC TVIMADUR SYMBOL
16DA  ; [.4219.0020.0002] # RUNIC LETTER LAUKAZ LAGU LOGR L
16DB  ; [.4219.0020.0004][.0000.011F.0004] # RUNIC LETTER DOTTED-L
16DC  ; [.421A.0020.0002] # RUNIC LETTER INGWAZ
16DD  ; [.421A.0020.0004][.0000.011F.0004] # RUNIC LETTER ING
16DE  ; [.421B.0020.0002] # RUNIC LETTER DAGAZ DAEG D
16DF  ; [.421C.0020.0002] # RUNIC LETTER OTHALAN ETHEL O
16F3  ; [.421D.0020.0002] # RUNIC LETTER OO
16AA  ; [.421E.0020.0002] # RUNIC LETTER AC A
16F7  ; [.421F.0020.0002] # RUNIC LETTER FRANKS CASKET AC
16AB  ; [.4220.0020.0002] # RUNIC LETTER AESC
16F8  ; [.4221.0020.0002] # RUNIC LETTER FRANKS CASKET AESC
16A3  ; [.4222.0020.0002] # RUNIC LETTER YR
16E0  ; [.4223.0020.0002] # RUNIC LETTER EAR
16E3  ; [.4224.0020.0002] # RUNIC LETTER CALC
16B8  ; [.4225.0020.0002] # RUNIC LETTER GAR
16E4  ; [.4226.0020.0002] # RUNIC LETTER CEALC
16E1  ; [.4227.0020.0002] # RUNIC LETTER IOR
16E2  ; [.4228.0020.0002] # RUNIC LETTER CWEORTH
16E5  ; [.4229.0020.0002] # RUNIC LETTER STAN
16E6  ; [.422A.0020.0002] # RUNIC LETTER LONG-BRANCH-YR
16E7  ; [.422A.0020.0004][.0000.011F.0004] # RUNIC LETTER SHORT-TWIG-YR
16E8  ; [.422A.0020.0004][.0000.0120.0004] # RUNIC LETTER ICELANDIC-YR
10CC0 ; [.422B.0020.0002] # OLD HUNGARIAN SMALL LETTER A
10C80 ; [.422B.0020.0008] # OLD HUNGARIAN CAPITAL LETTER A
10CC1 ; [.422B.0020.0004][.0000.011F.0004] # OLD HUNGARIAN SMALL LETTER AA
10C81 ; [.422B.0020.000A][.0000.011F.0004] # OLD HUNGARIAN CAPITAL LETTER AA
10CC2 ; [.422C.0020.0002] # OLD HUNGARIAN SMALL LETTER EB
10C82 ; [.422C.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EB
10CC3 ; [.422D.0020.0002] # OLD HUNGARIAN SMALL LETTER AMB
10C83 ; [.422D.0020.0008] # OLD HUNGARIAN CAPITAL LETTER AMB
10CC4 ; [.422E.0020.0002] # OLD HUNGARIAN SMALL LETTER EC
10C84 ; [.422E.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EC
10CC5 ; [.422F.0020.0002] # OLD HUNGARIAN SMALL LETTER ENC
10C85 ; [.422F.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ENC
10CC6 ; [.4230.0020.0002] # OLD HUNGARIAN SMALL LETTER ECS
10C86 ; [.4230.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ECS
10CC7 ; [.4231.0020.0002] # OLD HUNGARIAN SMALL LETTER ED
10C87 ; [.4231.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ED
10CC8 ; [.4232.0020.0002] # OLD HUNGARIAN SMALL LETTER AND
10C88 ; [.4232.0020.0008] # OLD HUNGARIAN CAPITAL LETTER AND
10CC9 ; [.4233.0020.0002] # OLD HUNGARIAN SMALL LETTER E
10C89 ; [.4233.0020.0008] # OLD HUNGARIAN CAPITAL LETTER E
10CCA ; [.4233.0020.0004][.0000.011F.0004] # OLD HUNGARIAN SMALL LETTER CLOSE E
10C8A ; [.4233.0020.000A][.0000.011F.0004] # OLD HUNGARIAN CAPITAL LETTER CLOSE E
10CCB ; [.4233.0020.0004][.0000.0120.0004] # OLD HUNGARIAN SMALL LETTER EE
10C8B ; [.4233.0020.000A][.0000.0120.0004] # OLD HUNGARIAN CAPITAL LETTER EE
10CCC ; [.4234.0020.0002] # OLD HUNGARIAN SMALL LETTER EF
10C8C ; [.4234.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EF
10CCD ; [.4235.0020.0002] # OLD HUNGARIAN SMALL LETTER EG
10C8D ; [.4235.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EG
10CCE ; [.4236.0020.0002] # OLD HUNGARIAN SMALL LETTER EGY
10C8E ; [.4236.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EGY
10CCF ; [.4237.0020.0002] # OLD HUNGARIAN SMALL LETTER EH
10C8F ; [.4237.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EH
10CD0 ; [.4238.0020.0002] # OLD HUNGARIAN SMALL LETTER I
10C90 ; [.4238.0020.0008] # OLD HUNGARIAN CAPITAL LETTER I
10CD1 ; [.4238.0020.0004][.0000.011F.0004] # OLD HUNGARIAN SMALL LETTER II
10C91 ; [.4238.0020.000A][.0000.011F.0004] # OLD HUNGARIAN CAPITAL LETTER II
10CD2 ; [.4239.0020.0002] # OLD HUNGARIAN SMALL LETTER EJ
10C92 ; [.4239.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EJ
10CD3 ; [.423A.0020.0002] # OLD HUNGARIAN SMALL LETTER EK
10C93 ; [.423A.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EK
10CD4 ; [.423B.0020.0002] # OLD HUNGARIAN SMALL LETTER AK
10C94 ; [.423B.0020.0008] # OLD HUNGARIAN CAPITAL LETTER AK
10CD5 ; [.423C.0020.0002] # OLD HUNGARIAN SMALL LETTER UNK
10C95 ; [.423C.0020.0008] # OLD HUNGARIAN CAPITAL LETTER UNK
10CD6 ; [.423D.0020.0002] # OLD HUNGARIAN SMALL LETTER EL
10C96 ; [.423D.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EL
10CD7 ; [.423E.0020.0002] # OLD HUNGARIAN SMALL LETTER ELY
10C97 ; [.423E.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ELY
10CD8 ; [.423F.0020.0002] # OLD HUNGARIAN SMALL LETTER EM
10C98 ; [.423F.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EM
10CD9 ; [.4240.0020.0002] # OLD HUNGARIAN SMALL LETTER EN
10C99 ; [.4240.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EN
10CDA ; [.4241.0020.0002] # OLD HUNGARIAN SMALL LETTER ENY
10C9A ; [.4241.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ENY
10CDB ; [.4242.0020.0002] # OLD HUNGARIAN SMALL LETTER O
10C9B ; [.4242.0020.0008] # OLD HUNGARIAN CAPITAL LETTER O
10CDC ; [.4242.0020.0004][.0000.011F.0004] # OLD HUNGARIAN SMALL LETTER OO
10C9C ; [.4242.0020.000A][.0000.011F.0004] # OLD HUNGARIAN CAPITAL LETTER OO
10CDD ; [.4243.0020.0002] # OLD HUNGARIAN SMALL LETTER NIKOLSBURG OE
10C9D ; [.4243.0020.0008] # OLD HUNGARIAN CAPITAL LETTER NIKOLSBURG OE
10CDE ; [.4243.0020.0004][.0000.011F.0004] # OLD HUNGARIAN SMALL LETTER RUDIMENTA OE
10C9E ; [.4243.0020.000A][.0000.011F.0004] # OLD HUNGARIAN CAPITAL LETTER RUDIMENTA OE
10CDF ; [.4243.0020.0004][.0000.0120.0004] # OLD HUNGARIAN SMALL LETTER OEE
10C9F ; [.4243.0020.000A][.0000.0120.0004] # OLD HUNGARIAN CAPITAL LETTER OEE
10CE0 ; [.4244.0020.0002] # OLD HUNGARIAN SMALL LETTER EP
10CA0 ; [.4244.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EP
10CE1 ; [.4245.0020.0002] # OLD HUNGARIAN SMALL LETTER EMP
10CA1 ; [.4245.0020.0008] # OLD HUNGARIAN CAPITAL LETTER EMP
10CE2 ; [.4246.0020.0002] # OLD HUNGARIAN SMALL LETTER ER
10CA2 ; [.4246.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ER
10CE3 ; [.4246.0020.0004][.0000.011F.0004] # OLD HUNGARIAN SMALL LETTER SHORT ER
10CA3 ; [.4246.0020.000A][.0000.011F.0004] # OLD HUNGARIAN CAPITAL LETTER SHORT ER
10CE4 ; [.4247.0020.0002] # OLD HUNGARIAN SMALL LETTER ES
10CA4 ; [.4247.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ES
10CE5 ; [.4248.0020.0002] # OLD HUNGARIAN SMALL LETTER ESZ
10CA5 ; [.4248.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ESZ
10CE6 ; [.4249.0020.0002] # OLD HUNGARIAN SMALL LETTER ET
10CA6 ; [.4249.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ET
10CE7 ; [.424A.0020.0002] # OLD HUNGARIAN SMALL LETTER ENT
10CA7 ; [.424A.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ENT
10CE8 ; [.424B.0020.0002] # OLD HUNGARIAN SMALL LETTER ETY
10CA8 ; [.424B.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ETY
10CE9 ; [.424C.0020.0002] # OLD HUNGARIAN SMALL LETTER ECH
10CA9 ; [.424C.0020.0008] # OLD HUNGARIAN CAPITAL LETTER ECH
10CEA ; [.424D.0020.0002] # OLD HUNGARIAN SMALL LETTER U
10CAA ; [.424D.0020.0008] # OLD HUNGARIAN CAPITAL LETTER U
10CEB ; [.424D.0020.0004][.0000.011F.0004] # OLD HUNGARIAN SMALL LETTER UU
